Bolt Services*,Restaurant
BOLT*,Transport
UBR*,Transport
*KAUFLAND*,Alimente
SEPHORA*,Cosmetice
STYL*,Bijuterii
VITRIN MODASTIL*,Costume
*f64.ro,Foto
CARREFOUR*,Alimente
Vivo Street Food,Restaurant
Selgros*,Alimente
OMV*,Combustibil
MOL *,Combustibil
*MCDONALD*,Restaurant
*KFC*,Restaurant
ZARA*,Haine
SINSAY*,Haine
easybox Sameday,
GAZETTO CAFE C2,Restaurant
HELP NET,Farmacie
Synevo,Farmacie
DECATHLON*,Sport
CATENA*,Farmacie
Hotel at Booking.com,Vacanță
INTERSPORT*,Sport
JUMBO*,Cumparaturi
CHOUSE GALATI,Restaurant
B&B*,Bijuterii
DEDEMAN,Casa
PTP ONLINE,Transport
RESTAURANT TRAI,Restaurant
ALT CONTROL COMPUTER,Echipament IT
OSCAR FOOD SRL,Restaurant
PROFI,Alimente
SNTFC CFR Calatori S,Transport
BIJUTERIE PALAS IA,Bijuterii
COFETARIA DANA,Restaurant
MINISO*,Cumparaturi
PENTI,Haine
*pcgarage.ro,Echipament IT
SMILE ACADEMY,Stomatologie
*gotica.ro,Haine
GOOGLE*,Digital
CCC *,Haine